"id","section","question","answer"
"1","General Information","What is PBSA?","PBSA takes student accommodation to the next level. PBSA stands for Purpose-Built Student Accommodation, which is a student building, solely designed for the needs of a modern day student. Our Unilife buildings are more than just a place to sleep, they are created to support both your academic and personal life. Think spacious vibrant social spaces to enjoy with friends, onsite 24 hour gyms for consistent exercise programs, cosy cinema rooms to enjoy the latest films or sports and free breakfast and coffee to fuel your day in our spacious study areas. We also have a dedicated team on site, including a property manager, property supervisor and maintenance team who are available to help create memorable experiences and assist with anything you might need, whether it is a friendly chat or wellbeing support. Whether you are looking to focus on your studies or unwind with friends, PBSA offers the ideal setting to help you thrive during your university years!"
"2","General Information","What is a short-term lease?","A short-term lease is a rental agreement for a duration shorter than our standard 45-51 week contracts. We understand that these are ideal for students on exchange programs, internships, or attending a single semester. We will do our best to accommodate your enquiry as we strive to provide accommodation for all students but it is subject to our current availability for the academic year so please contact us."
"3","General Information","Can I live with friends?","Yes, you would each have your own studio. We can also offer you and your friends the option to have your studios located next door to each other. We also have specifically designed dual occupancy studios which are very popular for couples and friends to share as we can provide one large double bed or two twin beds. It is a great option for two people as the rent is shared between two. This allows the rent to be very affordable, whilst still enjoying our premium service and amenities. We recommend booking early to secure your preferred room allocations and ensure that we can allocate your group next to each other."
"4","General Information","What is an ensuite room?","An ensuite room includes a private bedroom with an attached bathroom, providing you with your own toilet, sink, and shower. All of our rooms at Unilife are studios, and therefore provide their own ensuite bathroom and kitchen in the room. This allows for a private living experience with no shared amenities."
"5","General Information","What is a studio?","A studio is a self-contained living space that combines a private bedroom, kitchenette, and bathroom within one living space. This greatly enhances the student living experience as it offers complete privacy and independence, ideal for students who prefer not to share facilities with others. Unilife has some great communal spaces to hang out with other residents and enjoy the Unilife community."
"6","General Information","What is a non-ensuite room?","Whilst Unilife does not provide non-ensuite rooms, it is worth understanding when comparing a Unilife room to another operator. Is a private bedroom where the bathroom and other facilities, such as the kitchen and living areas, are shared with other residents. It is worth noting that students are randomly allocated to rooms. This is a budget-friendly option, offering community interaction while reducing costs."
"7","General Information","What is a one-bedroom apartment?","Whilst Unilife does not provide apartments, it is worth understanding when comparing a Unilife studio to another housing provider. A one-bedroom apartment consists of a separate bedroom, bathroom, and a living area with a full kitchen. One-bedroom apartments are often privately managed as individual units. At Unilife, we have dedicated staff on site every day, a vibrant community with regular weekly events and an array of great communal spaces for you to enjoy."
"8","Guarantor","What is a guarantor?","A guarantor is someone, typically a parent, guardian, or close relative, who agrees to take financial responsibility for your rent if you are unable to pay. They must be prepared to sign the tenancy agreement upon completion and provide personal documents. Unilife will only ever contact the guarantor if you fall into rent arrears and are not responding to the property managers communication. This is a common request when renting a property in the UK as it provides an added layer of security for landlords."
"9","Guarantor","Why is a guarantor required?","Unilife has four payment plans, providing flexibility for different incomes. A guarantor is required when selecting three or more payment invoices to ensure that rent and other obligations are met in case the tenant fails to pay. It gives landlords confidence, especially when renting to students who may not have a stable income."
"10","Guarantor","What is a UK-based guarantor?","A UK-based guarantor is a person who is permanently in the UK and is happy to take financial responsibility for your rent, subject to you failing to make rental payments. A UK guarantor will need to provide their identification, proof of UK home ownership, employment details and national insurance details."
